Company Name,Industry,Symbol,Series,ISIN Code
20 Microns Limited,NSE Equity,20MICRONS,EQ,INE144J01027
21st Century Management Services Limited,NSE Equity,21STCENMGM,EQ,INE253B01015
360 ONE WAM LIMITED,Financial Services,360ONE,EQ,INE466L01038
3B Blackbio Dx Limited,NSE Equity,3BBLACKBIO,EQ,INE994E01018
3i Infotech Limited,NSE Equity,3IINFOLTD,EQ,INE748C01038
3M India Limited,Diversified,3MINDIA,EQ,INE470A01017
3P Land Holdings Limited,NSE Equity,3PLAND,EQ,INE105C01023
5Paisa Capital Limited,NSE Equity,5PAISA,EQ,INE618L01018
63 moons technologies limited,NSE Equity,63MOONS,EQ,INE111B01023
A2Z Infra Engineering Limited,NSE Equity,A2ZINFRA,EQ,INE619I01012
AAA Technologies Limited,NSE Equity,AAATECH,EQ,INE0D0U01013
Aadhar Housing Finance Limited,Financial Services,AADHARHFC,EQ,INE883F01010
Aakash Exploration Services Limited,NSE Equity,AAKASH,EQ,INE087Z01024
Aarey Drugs & Pharmaceuticals Limited,NSE Equity,AAREYDRUGS,BE,INE198H01019
Aarnav Fashions Limited,NSE Equity,AARNAV,EQ,INE750R01016
Aaron Industries Limited,NSE Equity,AARON,EQ,INE721Z01010
Aartech Solonics Limited,NSE Equity,AARTECH,BE,INE01C001026
Aarti Drugs Limited,NSE Equity,AARTIDRUGS,EQ,INE767A01016
Aarti Industries Limited,Chemicals,AARTIIND,EQ,INE769A01020
Aarti Pharmalabs Limited,NSE Equity,AARTIPHARM,EQ,INE0LRU01027
Aarti Surfactants Limited,NSE Equity,AARTISURF,EQ,INE09EO01013
Aarvi Encon Limited,NSE Equity,AARVI,EQ,INE754X01016
Aastha Spintex Limited,NSE Equity,AASTHA,EQ,INE2FMX01012
Aavas Financiers Limited,Financial Services,AAVAS,EQ,INE216P01012
Aban Offshore Limited,NSE Equity,ABAN,BE,INE421A01028
Abans Enterprises Limited,NSE Equity,ABANSENT,BE,INE365O01028
ABB India Limited,Capital Goods,ABB,EQ,INE117A01022
Abbott India Limited,Healthcare,ABBOTINDIA,EQ,INE358A01014
Aditya Birla Capital Limited,Financial Services,ABCAPITAL,EQ,INE674K01013
A B Cotspin India Limited,NSE Equity,ABCOTS,EQ,INE08PH01015
Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027
Aditya Birla Fashion and Retail Limited,Consumer Services,ABFRL,EQ,INE647O01011
A B Infrabuild Limited,NSE Equity,ABINFRA,EQ,INE00YB01025
Aditya Birla Lifestyle Brands Limited,Consumer Services,ABLBL,EQ,INE14LE01019
ABM International Limited,NSE Equity,ABMINTLLTD,EQ,INE251C01025
ABM Knowledgeware Limited,NSE Equity,ABMKNO,EQ,INE850B01026
Aditya Birla Real Estate Limited,Realty,ABREL,EQ,INE055A01016
Aditya Birla Sun Life AMC Limited,Financial Services,ABSLAMC,EQ,INE404A01024
ACC Limited,Construction Materials,ACC,EQ,INE012A01025
Accelya Solutions India Limited,NSE Equity,ACCELYA,EQ,INE793A01012
Accuracy Shipping Limited,NSE Equity,ACCURACY,BE,INE648Z01023
Action Construction Equipment Limited,Capital Goods,ACE,EQ,INE731H01025
Ace Integrated Solutions Limited,NSE Equity,ACEINTEG,EQ,INE543V01017
Archean Chemical Industries Limited,NSE Equity,ACI,EQ,INE128X01021
Andhra Cements Limited,NSE Equity,ACL,EQ,INE666E01020
Acme Solar Holdings Limited,Power,ACMESOLAR,EQ,INE622W01025
ACS Technologies Limited,NSE Equity,ACSTECH,EQ,INE366C01021
Acutaas Chemicals Limited,Healthcare,ACUTAAS,EQ,INE00FF01025
Adani Energy Solutions Limited,Power,ADANIENSOL,EQ,INE931S01010
Adani Enterprises Limited,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy Limited,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Limited,Services,ADANIPORTS,EQ,INE742F01042
Adani Power Limited,Power,ADANIPOWER,EQ,INE814H01029
ADF Foods Limited,NSE Equity,ADFFOODS,EQ,INE982B01027
Archidply Decor Limited,NSE Equity,ADL,EQ,INE0CHO01012
Ador Welding Limited,NSE Equity,ADOR,EQ,INE045A01017
Adroit Infotech Limited,NSE Equity,ADROITINFO,EQ,INE737B01033
Allied Digital Services Limited,NSE Equity,ADSL,EQ,INE102I01027
Advait Energy Transitions Limited,NSE Equity,ADVAIT,EQ,INE0ALI01010
Advance Agrolife Limited,NSE Equity,ADVANCE,EQ,INE1B0W01010
Advani Hotels & Resorts (India) Limited,NSE Equity,ADVANIHOTR,EQ,INE199C01026
Advent Hotels International Limited,NSE Equity,ADVENTHTL,EQ,INE28GN01010
Advanced Enzyme Technologies Limited,NSE Equity,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Limited,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Aegis Vopak Terminals Limited,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018
Artemis Electricals and Projects Limited,NSE Equity,AEPL,EQ,INE757T01025
Aequs Limited,NSE Equity,AEQUS,EQ,INE947N01017
Aeroflex Enterprises Limited,NSE Equity,AEROENTER,EQ,INE065D01027
Aeroflex Industries Limited,NSE Equity,AEROFLEX,EQ,INE024001021
Aeroflex Neu Limited,NSE Equity,AERONEU,EQ,INE035801013
Amir Chand Jagdish Kumar (Exports) Limited,NSE Equity,AEROPLANE,EQ,INE05TO01019
Aether Industries Limited,NSE Equity,AETHER,EQ,INE0BWX01014
Afcons Infrastructure Limited,Construction,AFCONS,EQ,INE101I01011
Affle 3i Limited,Information Technology,AFFLE,EQ,INE00WC01027
Affordable Robotic & Automation Limited,NSE Equity,AFFORDABLE,BE,INE692Z01013
Akme Fintrade (India) Limited,NSE Equity,AFIL,EQ,INE916Y01027
Abans Financial Services Limited,NSE Equity,AFSL,EQ,INE00ZE01026
Agarwal Industrial Corporation Limited,NSE Equity,AGARIND,EQ,INE204E01012
Dr. Agarwal's Health Care Limited,NSE Equity,AGARWALEYE,EQ,INE943P01029
AGI Greenpac Limited,NSE Equity,AGI,EQ,INE415A01038
Agi Infra Limited,NSE Equity,AGIIL,EQ,INE976R01033
Allcargo Global Limited,NSE Equity,AGL,EQ,INE1YPB01014
Agri-Tech (India) Limited,NSE Equity,AGRITECH,BE,INE449G01018
Agro Phos India Limited,NSE Equity,AGROPHOS,EQ,INE740V01019
Anlon Healthcare Limited,NSE Equity,AHCL,EQ,INE0Y8W01025
Ahlada Engineers Limited,NSE Equity,AHLADA,EQ,INE00PV01013
Asian Hotels (East) Limited,NSE Equity,AHLEAST,EQ,INE926K01017
Ahluwalia Contracts (India) Limited,NSE Equity,AHLUCONT,EQ,INE758C01029
Asian Hotels (West) Limited,NSE Equity,AHLWEST,BE,INE915K01010
AIA Engineering Limited,Capital Goods,AIAENG,EQ,INE212H01026
Authum Investment & Infrastructure Limited,Financial Services,AIIL,EQ,INE206F01022
Airan Limited,NSE Equity,AIRAN,EQ,INE645W01026
Airo Lam limited,NSE Equity,AIROLAM,EQ,INE801L01010
Ajanta Pharma Limited,Healthcare,AJANTPHARM,EQ,INE031B01049
Ajax Engineering Limited,NSE Equity,AJAXENGG,EQ,INE274Y01021
Ajmera Realty & Infra India Limited,NSE Equity,AJMERA,EQ,INE298G01035
Ajooni Biotech Limited,NSE Equity,AJOONI,EQ,INE820Y01021
Akash Infra-Projects Limited,NSE Equity,AKASH,EQ,INE737W01013
AK Capital Services Limited,NSE Equity,AKCAPIT,EQ,INE701G01012
Akg Exim Limited,NSE Equity,AKG,EQ,INE00Y801016
AKI India Limited,NSE Equity,AKI,EQ,INE642Z01026
Akshar Spintex Limited,NSE Equity,AKSHAR,EQ,INE256Z01025
AksharChem India Limited,NSE Equity,AKSHARCHEM,BE,INE542B01011
Aksh Optifibre Limited,NSE Equity,AKSHOPTFBR,BE,INE523B01011
Akums Drugs and Pharmaceuticals Limited,NSE Equity,AKUMS,EQ,INE09XN01023
Alankit Limited,NSE Equity,ALANKIT,EQ,INE914E01040
Albert David Limited,NSE Equity,ALBERTDAVD,EQ,INE155C01010
Alembic Limited,NSE Equity,ALEMBICLTD,EQ,INE426A01027
Algoquant Fintech Limited,NSE Equity,ALGOQUANT,EQ,INE598D01035
Alicon Castalloy Limited,NSE Equity,ALICON,EQ,INE062D01024
Alivus Life Sciences Limited,NSE Equity,ALIVUS,EQ,INE03Q201024
Alkali Metals Limited,NSE Equity,ALKALI,BE,INE773I01017
Alkem Laboratories Limited,Healthcare,ALKEM,EQ,INE540L01014
Alkyl Amines Chemicals Limited,NSE Equity,ALKYLAMINE,EQ,INE150B01039
Allcargo Logistics Limited,NSE Equity,ALLCARGO,EQ,INE418H01029
Alldigi Tech Limited,NSE Equity,ALLDIGI,EQ,INE835G01018
All Time Plastics Limited,NSE Equity,ALLTIME,EQ,INE0GV601021
Almondz Global Securities Limited,NSE Equity,ALMONDZ,EQ,INE326B01035
Alok Industries Limited,NSE Equity,ALOKINDS,EQ,INE270A01029
Alpa Laboratories Limited,NSE Equity,ALPA,EQ,INE385I01010
Alphageo (India) Limited,NSE Equity,ALPHAGEO,EQ,INE137C01018
Alpine Texworld Limited,NSE Equity,ALPINETEX,BE,INE1JCQ01037
Amagi Media Labs Limited,NSE Equity,AMAGI,EQ,INE121R01077
Amanta Healthcare Limited,NSE Equity,AMANTA,BE,INE084K01015
Ambalal Sarabhai Enterprises Limited,NSE Equity,AMBALALSA,EQ,INE432A01017
Amber Enterprises India Limited,Consumer Durables,AMBER,EQ,INE371P01015
Ambica Agarbathies & Aroma industries Limited,NSE Equity,AMBICAAGAR,EQ,INE792B01012
Ambika Cotton Mills Limited,NSE Equity,AMBIKCO,EQ,INE540G01014
Ambuja Cements Limited,Construction Materials,AMBUJACEM,EQ,INE079A01024
AMD Industries Limited,NSE Equity,AMDIND,EQ,INE005I01014
Amj Land Holdings Limited,NSE Equity,AMJLAND,EQ,INE606A01024
Amines & Plasticizers Limited,NSE Equity,AMNPLST,EQ,INE275D01022
Amrutanjan Health Care Limited,NSE Equity,AMRUTANJAN,EQ,INE098F01031
Anand Rathi Wealth Limited,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj Limited,Realty,ANANTRAJ,EQ,INE242C01024
ANDHRA PAPER LIMITED,NSE Equity,ANDHRAPAP,EQ,INE435A01051
The Andhra Sugars Limited,NSE Equity,ANDHRSUGAR,EQ,INE715B01021
Angel One Limited,Financial Services,ANGELONE,EQ,INE732I01021
Anik Industries Limited,NSE Equity,ANIKINDS,EQ,INE087B01017
Anmol India Limited,NSE Equity,ANMOL,EQ,INE02AR01019
Antelopus Selan Energy Limited,NSE Equity,ANTELOPUS,EQ,INE818A01017
Antarctica Limited,NSE Equity,ANTGRAPHIC,EQ,INE414B01021
Anthem Biosciences Limited,Healthcare,ANTHEM,EQ,INE0CZ201020
Anuh Pharma Limited,NSE Equity,ANUHPHR,EQ,INE489G01022
The Anup Engineering Limited,NSE Equity,ANUP,EQ,INE294Z01018
Anupam Rasayan India Limited,Chemicals,ANURAS,EQ,INE930P01018
Apar Industries Limited,Capital Goods,APARINDS,EQ,INE372A01015
Anjani Portland Cement Limited,NSE Equity,APCL,EQ,INE071F01012
Apcotex Industries Limited,NSE Equity,APCOTEXIND,EQ,INE116A01032
Apex Frozen Foods Limited,NSE Equity,APEX,EQ,INE346W01013
APL Apollo Tubes Limited,Capital Goods,APLAPOLLO,EQ,INE702C01027
Alembic Pharmaceuticals Limited,NSE Equity,APLLTD,EQ,INE901L01018
Apollo Micro Systems Limited,NSE Equity,APOLLO,EQ,INE713T01028
Apollo Hospitals Enterprise Limited,Healthcare,APOLLOHOSP,EQ,INE437A01024
Apollo Pipes Limited,NSE Equity,APOLLOPIPE,EQ,INE126J01016
Apollo Tyres Limited,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Apollo Sindoori Hotels Limited,NSE Equity,APOLSINHOT,EQ,INE451F01024
Aptech Limited,NSE Equity,APTECHT,BE,INE266F01018
Aptus Value Housing Finance India Limited,Financial Services,APTUS,EQ,INE852O01025
Aqylon Nexus Limited,NSE Equity,AQYLON,EQ,INE416A01051
Archidply Industries Limited,NSE Equity,ARCHIDPLY,EQ,INE877I01016
Archies Limited,NSE Equity,ARCHIES,EQ,INE731A01020
Amara Raja Energy & Mobility Limited,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Rajdarshan Industries Limited,NSE Equity,ARENTERP,EQ,INE610C01014
Arfin India Limited,NSE Equity,ARFIN,EQ,INE784R01023
Aries Agro Limited,NSE Equity,ARIES,EQ,INE298I01015
Arihant Foundations & Housing Limited,NSE Equity,ARIHANT,EQ,INE413D01011
Arihant Capital Markets Limited,NSE Equity,ARIHANTCAP,EQ,INE420B01036
Arihant Superstructures Limited,NSE Equity,ARIHANTSUP,EQ,INE643K01018
Arisinfra Solutions Limited,NSE Equity,ARIS,EQ,INE0H9P01028
Arkade Developers Limited,NSE Equity,ARKADE,EQ,INE0QRL01017
Arman Financial Services Limited,NSE Equity,ARMANFIN,EQ,INE109C01017
Aro Granite Industries Limited,NSE Equity,AROGRANITE,EQ,INE210C01013
Arrow Greentech Limited,NSE Equity,ARROWGREEN,BE,INE570D01018
Anand Rathi Share and Stock Brokers Limited,NSE Equity,ARSSBL,EQ,INE549H01021
Artemis Medicare Services Limited,NSE Equity,ARTEMISMED,EQ,INE025R01021
Art Nirman Limited,NSE Equity,ARTNIRMAN,EQ,INE738V01013
Arvee Laboratories (India) Limited,NSE Equity,ARVEE,EQ,INE006Z01016
Arvind Limited,NSE Equity,ARVIND,EQ,INE034A01011
